,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
55,Second Class,Home Office,Nevada,East,Technology,Accessories,424.59,8.0,0.3,39.96
56,Same Day,Consumer,Kentucky,Central,Technology,Copiers,203.57,2.0,0.0,26.15
57,First Class,Consumer,South Carolina,South,Technology,Chairs,263.81,8.0,0.0,25.57
58,Second Class,Corporate,New Jersey,Central,Technology,Accessories,193.41,9.0,0.1,30.77
59,Second Class,Home Office,California,South,Office Supplies,Supplies,474.66,3.0,0.2,42.4
60,Second Class,Home Office,Tennessee,South,Furniture,Art,460.64,2.0,0.3,-9.49
61,Same Day,Home Office,Nebraska,Central,Technology,Paper,287.94,4.0,0.0,58.5
62,Standard Class,Consumer,Maryland,East,Office Supplies,Envelopes,132.74,7.0,0.4,-3.44
63,Standard Class,Home Office,Minnesota,Central,Technology,Bookcases,257.59,8.0,0.2,55.36
64,First Class,Home Office,South Carolina,East,Technology,Machines,397.09,2.0,0.3,65.83
65,First Class,Consumer,Arizona,West,Technology,Fasteners,46.61,8.0,0.2,11.5
66,First Class,Consumer,Washington,East,Office Supplies,Supplies,401.94,3.0,0.0,35.0
67,Second Class,Consumer,Utah,West,Technology,Binders,395.43,1.0,0.2,-18.45
68,Same Day,Consumer,New York,East,Furniture,Appliances,422.37,7.0,0.3,32.31
69,Standard Class,Consumer,Minnesota,East,Office Supplies,Furnishings,429.04,7.0,0.3,-26.85
70,Second Class,Corporate,Vermont,Central,Office Supplies,Supplies,291.45,4.0,0.3,57.42
71,Same Day,Home Office,Colorado,Central,Furniture,Art,139.25,2.0,0.3,18.54
72,Second Class,Home Office,Delaware,West,Office Supplies,Binders,470.48,1.0,0.4,58.0
73,Second Class,Consumer,New Mexico,Central,Technology,Machines,297.66,8.0,0.5,-39.61
74,First Class,Corporate,Kansas,South,Technology,Tables,219.34,1.0,0.4,44.93
75,Standard Class,Corporate,Idaho,South,Furniture,Labels,483.9,7.0,0.5,10.15
76,Standard Class,Corporate,Tennessee,East,Office Supplies,Appliances,53.86,8.0,0.1,-22.66
77,Same Day,Corporate,New York,South,Technology,Supplies,145.68,7.0,0.4,23.86
78,First Class,Consumer,Alabama,South,Office Supplies,Bookcases,400.94,3.0,0.4,-7.17
79,Second Class,Consumer,Nebraska,East,Furniture,Labels,30.3,7.0,0.1,-4.17
80,Same Day,Corporate,Indiana,West,Office Supplies,Machines,105.17,2.0,0.2,-29.18
81,First Class,Home Office,New Mexico,Central,Office Supplies,Art,418.62,3.0,0.0,25.26
82,Second Class,Home Office,Wisconsin,West,Office Supplies,Copiers,332.55,3.0,0.3,16.21
83,Second Class,Home Office,Nevada,South,Office Supplies,Tables,33.2,8.0,0.2,9.86
84,First Class,Consumer,Nebraska,West,Office Supplies,Accessories,444.28,4.0,0.4,56.1
85,Second Class,Consumer,Wisconsin,Central,Office Supplies,Copiers,307.0,3.0,0.4,-8.71
86,Standard Class,Consumer,New Mexico,South,Office Supplies,Furnishings,400.07,3.0,0.1,-4.8
87,Second Class,Corporate,Oklahoma,East,Technology,Envelopes,37.46,4.0,0.4,-15.54
88,Same Day,Home Office,Mississippi,South,Furniture,Furnishings,272.32,4.0,0.2,4.57
89,Same Day,Corporate,Maine,South,Office Supplies,Chairs,225.26,4.0,0.0,48.3
90,Standard Class,Consumer,Ohio,South,Furniture,Phones,294.73,8.0,0.0,-7.83
91,Second Class,Home Office,South Carolina,Central,Office Supplies,Paper,442.7,5.0,0.1,14.43
92,First Class,Home Office,Arkansas,West,Office Supplies,Accessories,419.35,8.0,0.4,26.55
93,First Class,Consumer,District of Columbia,South,Office Supplies,Binders,241.05,2.0,0.5,15.27
94,Second Class,Home Office,Arkansas,Central,Office Supplies,Accessories,236.25,8.0,0.0,4.98
95,Second Class,Home Office,Delaware,West,Technology,Phones,412.23,2.0,0.4,47.33
96,First Class,Corporate,Missouri,South,Office Supplies,Phones,270.23,3.0,0.3,1.3
97,Second Class,Corporate,Montana,West,Technology,Furnishings,44.23,4.0,0.4,-2.75
98,First Class,Corporate,Oregon,Central,Technology,Supplies,130.47,2.0,0.4,65.76
99,Second Class,Corporate,Tennessee,South,Office Supplies,Appliances,162.71,6.0,0.4,59.51
